,Actress_Name,actress_link,Available_photos,Available_videos,Rank,Profile_views,Video_views,Subscribers,Country,Age,Eye,Hair,Height,Weight,Cup,Measurements,Alias,Official_website,Twitter,Instagram,Bio
10,Dani Daniels,https://www.eporner.com/pornstar/dani-daniels/,262,210,11,5220987,37801625,232,United States,33,Grey,Brown,"170 cm / 5'7""",55 kg / 121 lbs,C,34C-24-36,"Dani,Dani D Joymii,Dani Daniel,Dani FTV",https://danidaniels.com/,https://twitter.com/akaDaniDaniels,https://instagram.com/akadanidaniels,"Born on September 23rd, 1989, Dani Daniels has always had a job and worked wherever she could. She has been a stripper and model before working as an adult actress. Her real name is Kira Lee Orsag, and she had two mothers who loved and raised her. She weighs only 121lbs even though her height is 5’7’’. She has C cup breasts, and her official measurements are 34C-24-36. Her ethnicity is Caucasian, and she has striking grey eyes and brown hair. Her birth city is in Orange County, California. After high school, Daniels completed two years of art school. But then she dropped out because it was not for her. In 2013, Daniels won the award for Best all Girl release. One of her best-known works is in the adult parody for The Wolf of Wall Street. She also enjoys working as a camgirl and has many followers on Camsoda."
11,Lisa Ann,https://www.eporner.com/pornstar/lisa-ann/,286,350,12,4901186,38662318,292,United States,50,Brown,Brunette,"157 cm / 5'2""",50 kg / 110 lbs,D,38D-20-24,"Lee Ann Vision,Leesa,Lisa,Lisa Anne Corpora,Lisa Corpora,Lisa Costella,Lisaann,Sunshine,Zina,Zina Sunshine",https://thelisaann.com/,https://twitter.com/thereallisaann,https://instagram.com/thereallisaann,"Lisa Ann (born May 9, 1972 in Easton, Pennsylvania, USA) is a pornographic actress. Popular during the 90's, she slipped away from the porn business around the same time and has recently made a comeback to porn in the 2000's, starring prominently in web based features on sites such as mommygotboobs.com and milfslikeitbig.com. She is currently signed to the Brazzer's network, the most popular web based pornography company in America at this time. Lisa Ann began erotic dancing about 1990 to pay her way through college, where she became a certified dental assistant. In July 1994, she became an adult actress, but quit in 1997. She spent several years touring as a feature dancer at clubs around the country. Lisa then announced that she was quitting dancing, because she had decided to settle down and focus on her marriage and her day spa business venture. This was followed by a divorce and the sale of her day spa business. Lisa began working in the industry as an agent. In 2004, she announced that she had returned to performing.[2]  In November 2006, Lisa Ann started a talent agency, Clear Talent Management, and in August 2007 she changed her business to Lisa Ann's Talent Management. In December 2007, she merged her agency with Seymore Butts' Lighthouse Agency, and is now managing the new agency."
12,Cherie DeVille,https://www.eporner.com/pornstar/cherie-deville/,1649,5654,13,2922772,28552085,263,United States,44,Blue,Blonde,"165 cm / 5'5""",50 kg / 110 lbs,DD,32DD-23-35,Cherry DeVille,https://cheriesnaps.com/,https://twitter.com/cheriedeville,https://instagram.com/cheriedevillexo,"Easily one of the most beautiful women in the United States, Cherie DeVille is a blue-eyed blonde bombshell that we wish we knew when we were teens! She has Double D cups, and her measurements are 32DD-23-35. She has big beautiful blue eyes and natural blonde hair that she sometimes dyes to a strawberry blonde. She was born on August 30th, 1987, in the city of Durham, North Carolina. Her family moved around to a few other cities before settling in Massachusetts. Before working in the adult film industry, she wanted to be a model and tried out at many modeling agencies. Her real name is Carolyn Anne Paparozzi, and she started working in the industry. In 2012 and has made many films since then. She is most famous for her many lesbian love scenes, as well as many other scenes with women. When she is not filming, she enjoys playing the drums and swing dancing."
13,Little Caprice,https://www.eporner.com/pornstar/little-caprice/,2343,189,14,2679668,27179206,230,Czech Republic,31,Brown,Brown,"155 cm / 5'1""",52 kg / 115 lbs,B,32B-25-34,"Caprice,Caprice A,Caprice A Met Art,Caprice A YLP,Caprice Joymii,Caprice Sapphic,Caprice Twistys,Caprice X Art,Caprise Wetandpuffy,Little C,Little Caprise,Lola ATK,Lola Karups,Lola Shut,Lolashut Nubiles,Marketa,Marketa Stroblova,Patricia",https://www.littlecaprice-dreams.com/,https://twitter.com/littlecapricetm,https://instagram.com/little.caprice.official,"The Czech Republic is not known to many people, but it sure does produce some impressive ladies. On February 8th, 1988, Little Caprice or Markéta Schlögl in the city of Brno. She was a good student and even attended university for some time to achieve a nutrition degree. However, she changed her mind and went into the adult entertainment industry instead. This lovely woman has brown hair, brown eyes, weighs 115lbs, and is 5’1’’ tall. She started working in 2008 and kept working until 2011. She had to take a small break due to health issues but then restart her film career again in 2012. After a few years, she debuted in an adult video game and then launched her own website. Little Caprice is a B cup, and her measurements are 32B-25-34. In 2020, of all years, she was able to win the AVN Award for Female Foreign Performer of the Year."
14,Mia Khalifa,https://www.eporner.com/pornstar/mia-khalifa/,167,22557,15,5190307,30554258,337,Lebanon,29,Brown,Black,"157 cm / 5'2""",55 kg / 121 lbs,DDD,34DDD-26-40,"Mia Callista,Mia Khalifia",http://miakhalifa.com/,,https://www.instagram.com/miakhalifa/,"If you do not know who Mia Khalifa is, then you've been living under a rock for the past five years. Even though she no longer works in adult entertainment, she is certainly a woman who left her vivid impression that many people will remember. Khalifa was born on February 10, 1993, in Lebanon, and she has brown eyes and black hair. Even though she only weighs 121 lb, she is definitely not missing anything in the chest area. Khalifa is a size DDD cup, and her measurements are 34DDD-26-40. Her real name is Sarah Joe Chamoun and her career was a wild one. She once got into some major trouble by wearing a hijab while she was performing in a threesome. The scene got her almost overnight fame, and the poor girl even received death threats over it. In 2015, she left the industry because of the criticism and negative attention."
15,Kendra Lust,https://www.eporner.com/pornstar/kendra-lust/,622,19,16,4805008,31624153,307,Canada,44,Brown,Brunette,"163 cm / 5'4""",54 kg / 120 lbs,D,34D-25-36,,,https://twitter.com/kendralust,https://instagram.com/kendralust,"Born in Canada as Michelle Anne Mason, Kendra Lust is 5’4’’ and weighs only 120lbs. She has D cups, and her measurements are 34D-25-36. Before she worked in adult films, she was a stripper and used that money to pay her way through college. She then became a nurse. In 2012, Kendra started a webcam show and later moved onto adult films. The first company Kendra worked for was Brazzers, and she stayed with them for three years. About four years later, she developed her own line of sex toys through Zero Tolerance Entertainment and the line was sucessful. As of 2019, she has won 6 adult film awards, all of them related to the MILF category. Kendray briefly owned her own adult film studio and released one film from the studio called Anal Lust. She now has a husband and a daughter, and they all live together in California."
16,Cory Chase,https://www.eporner.com/pornstar/cory-chase/,110,9227,17,3889551,38648636,403,USA,41,Hazel,Blonde,"165 cm / 5'5""",49 kg / 108 lbs,C,36C-27-34,"Corey Chase,Cory Chade",https://onlyfans.com/corychasexxx,https://twitter.com/corychasexxx,https://instagram.com/TheCoryChase,"Born on February 25th, 1981, in New Jersey, Cory Chase is a strawberry blonde Caucasian woman with hazel eyes. She's of average height, which is 5ft 5in and only 108lbs. She's a natural C cup, and her measurements are 36C-27-34. After Cory graduated from high school, she actually went into the National Guard for almost nine years. During that time, she trained to be a paramedic. Strangely, she had a hobby of filming herself or her with another partner while they had sex. And then she would take the films and mail them to you porn websites. So they could publish the videos on their websites. After she realized that she could succeed as being an adult actress, she finally entered the industry. All of this happened when she was 28, which is much older than when most other women start their form careers. They usually start performing in their late teens."
17,Elsa Jean,https://www.eporner.com/pornstar/elsa-jean/,1964,439,18,3046960,22012607,317,USA,25,Green,Blonde,"157 cm / 5'2""",45 kg / 99 lbs,C,32-24-33,"Elsa Dream,Elsa Dream Jean,Molly",,https://twitter.com/ElsaJeanxxx,https://instagram.com/elsajeanofficial,"Elsa Jean she take her stage name from the award-winning animated film Frozen. Elsa is all-natural, completely free of plastic surgery. As she said in interview, only reason why she start playing in porn movies was simple – Elsa Jean was looking for big amount of sex. She was eighteen years old when she first started. She has filmed for 3rd Degree, Evil Angel, Digital Sin, and Airerose Entertainment, but Elsa can also be seen on adult websites as like for Blacked.com, Zefporn, Petite Ballerinas Fucked, POVD and New Sensations."
18,Dillion Harper,https://www.eporner.com/pornstar/dillion-harper-krdBo/,897,318,19,3763429,30326770,269,USA,31,Brown,Brown,"165 cm / 5'5""",52 kg / 114 lbs,B,33B-28-34,"Dillion,Dillion Allure,Dillion Karups,Dillon,Dillon Fuckedhard18,Dillon Harper",http://www.DillionHarperExclusive.com/,https://twitter.com/dillionharper,https://instagram.com/DillionHarperExclusive_com,"Harper is definitely a skinny-mini, but she knows how to do the job right! Born on September 27th, 1991, she only weighs 114lbs and is 5’5’’ tall. Her hair and eyes are brown, and she is a caucasian woman who was born in Florida. This young lady attended college and originally wanted to be a dentist. She started in the adult industry as a model for several major porn websites. By 2012, she starred in her first adult film and has been working ever since. She is a B cup, and her measurements are 33B-28-34. Harper has a classical upturned nose and squishy cheeks. When she is not filming adult scenes, she also works for a site called IStripper. People pay her to strip over the internet. Now that’s what I call telecommuting! Camping is one of her favorite hobbies, and she does it whenever she can."
19,Julia Ann,https://www.eporner.com/pornstar/julia-ann/,146,272,20,3611653,38716525,207,United States,53,Blue,Blonde,"173 cm / 5'8""",58 kg / 128 lbs,DD,34DD-24-37,Julie Ann,https://www.juliaannlive.com/,https://twitter.com/therealJuliaAnn,https://instagram.com/therealjuliaannlive,"Julia Ann (born Julia Tavella, October 8, 1969 in Los Angeles, California) is a pornographic actress, feature dancer and former Penthouse Pet, she is a member of the AVN Hall of Fame. Ann worked as a professional mud wrestler in Hollywood before becoming one half of the popular touring strip club feature act Blondage, with Janine Lindemulder, in the early 1990s. Their success led to offers to join the adult film industry. Ann debuted in adult films in 1993 in Andrew Blake's Hidden Obsessions, in a lesbian sex scene with Lindemulder. She has been a contract girl throughout most of her career. Her first exclusive contract was with Vivid Entertainment (during which time she worked solo and also made a series of Blondage films with Lindemulder). Later she contracted with Digital Playground (1999) and Wicked Pictures (2002). She contracted with Wicked Pictures again in 2006, but in May, 2007 she posted on the members section of her website that she had not renewed her contract with Wicked. On June 28, 2007 her first scene since leaving Wicked Pictures debuted on Naughty America's Naughty Office. She has since started working as a makeup artist. Ann is a long-time member of People for the Ethical Treatment of Animals. She married adult film director Michael Raven on June 21, 2003. They have since divorced. Along with Inari Vachs and other female porn actresses, Ann was a host of the Playboy TV show Naughty Amateur Home Videos. Besides breast augmentation, Julia Ann also had labiaplasty and a nose job (to remove the aftereffects of a broken nose suffered when a horse kicked her in the face). She has also done videos for Naughty America as recently as 2007 and most recently Brazzers."
20,Alexis Texas,https://www.eporner.com/pornstar/alexis-texas/,484,309,21,4059708,26556554,245,United States,37,Blue,Blonde,"173 cm / 5'8""",64 kg / 141 lbs,C,34C-23-42,"Alexis Love,Alexis T Joymii",https://www.teamtexass.com/,https://twitter.com/Alexis_Texas,https://instagram.com/whitegirlpoliticking,"Alexis Texas (born January 28, 1986) is an American porn star. She started working in porn in 2007 when she turned 21. She is known for her large buttocks, and has stated, ""There are not many girls with a big ass who look like me. I realized it could be my moneymaker"". Before entering the adult industry, her jobs included working as a barmaid. Her first scene was in Shane's World's College Amateur Tour In Texas, filmed in October 2006, followed by a couple of scenes for Bang Bros in Florida. She then moved to Los Angeles and began shooting scenes for the LA Direct modelling agency in March 2007. Released in February 2008, Discovering Alexis Texas was directed by the adult actress Belladonna. Her most recent work, an Elegant Angel film, Alexis Texas is Buttwoman, featured her first anal scene."
21,August Ames,https://www.eporner.com/pornstar/august-ames-aOquC/,334,317,22,3959791,32085903,201,Canada,28,Brown,Brown,"168 cm / 5'6""",52 kg / 114 lbs,D,32D-23-28,August Aimes,,https://twitter.com/augustamesxxx,https://www.instagram.com/msmaplefever/,"Born on September 23rd, 1989, August Ames is a caucasian woman with brown hair and striking grey eyes. She was once a bright young woman who had a big smile, and she will always be remembered that way. Before making films, she worked with horses and was even a horse trainer! Ames was born in Nova Scotia and started working in the adult film industry in 2013. She was quite a hard worker and appeared in over 270 films and scenes in just four short years. By 2016, Ames earned three nominations for Female Performer of the Year. Her height is 5’7,’’ and her weight is only 121lbs. She has C cup breasts, and her measurements are 34C-24-36. Unfortunately, this wonderful woman left the world at the age of 23 because of a mean tweet she wrote, as cyberbullies ganged up on her on social media."
22,Gina Gerson,https://www.eporner.com/pornstar/gina-gerson-fN5q0/,545,462,23,3768013,32253957,180,Russia,31,Brown,Brown,"163 cm / 5'4""",50 kg / 110 lbs,A,32A-22-35,"Doris Ivy,Gina,Gina DDF,Gina H,Valya C",https://ginagerson.xxx/,https://twitter.com/Gina_Gerson,https://instagram.com/valentina_ginagerson_official,"Fetching and slender (5'6"") Russian stunner Gina Gerson was born on May 17, 1991 in St. Petersburg, Russia. Following graduation from high school in 2009, Gerson went on to attend the St. Petersburg State Institute of Technology. Gina first started performing in explicit hardcore movies in her early twenties in 2012. Among the notable companies Ivy has appeared in X-rated features for are Private, Evil Angel, 21 Sextury, Girlfriends Films, and Video Art Holland. Moreover, Gina has also worked for such adult websites as 21 Sextreme, Nubile Films, Subspace Land, and 21 Naturals. She lives in Budapest, Hungary."
23,Krystal Boyd,https://www.eporner.com/pornstar/krystal-boyd-bjTrw/,589,89,24,3121711,27934541,163,Russia,29,Blue,Blonde,"173 cm / 5'8""",49 kg / 108 lbs,A,35A-24-35,"Abbie,Abbiy ATK,Abbiy Karups,Abbiy Twistys,Abby,Abby C Wetandpuffy,Abby Sapphic,Abby W4B,Anjelica,Anjelica DDF,Anjelica Ebbi,Anjelica YLP,Chelsea,Ebbi,Ebbi Nubiles,Katherine A Met Art,Kathy I Femjoy,Masha Roofkina,Megan,Slim Anya,Snejanna",,https://twitter.com/anjelica_abby,https://www.instagram.com/kapitolin/,"Sometimes, you have to go overseas to get your fix of beautiful women and naughty scenes, and Krystal Boyd is the girl that will make you say, “Hello, Russia!” Born on April 13th, 1993, this firecracker stands at 5’8’’, so she has legs that go on and on! At 108lbs, her skinny body will keep you entertained for hours! Her eyes are vivid blue, and her hair is long and brown. She is an A cup, and her measurements are 35A-24-35. Born Ksenia Kondratyeva, she started working as an erotic model when she was 18 years old. But on the side, she also made money as a camgirl. Because of the wild popularity of her cam show, she took the plunge and entered the adult film industry in late 2011. She is quite a fan favorite and has made it to many top 20 lists."
24,Aidra Fox,https://www.eporner.com/pornstar/aidra-fox-Lskgl/,2090,551,25,3146992,34661464,214,USA,27,Brown,Brown,"168 cm / 5'6""",57 kg / 125 lbs,C,32C-28-34,"Aidra Fuckedhard18,Aidra X Art",https://onlyfans.com/aidrafoxx,https://twitter.com/xAIDRAFOXx,https://instagram.com/aidra.fox,"Ms. Fox is not the girl next door type, and all of her viewers and fans are so lucky that she is not. It would hold her back from her wild and crazy performances. Aidra Fox was born on September 25th, 1995, in the US, and she was blessed with beautiful blue eyes. She also has brown hair, and her cup size is C. Her measurements are 32-26-38. She weighs around 125. Her birthplace is Milwaukee, and she spent many years of her life enjoying camping and nature activities with her family and friends. In 2017, she was nominated to be Female Performer of the Year, the Best Star Showcase, and Best Boy/Girl Sex Scene. Aidra performs in much bisexual content, and she has also made a few scenes for the teen category. She loves to stay in shape by hiking and taking frequent trips to the beach."
25,Phoenix Marie,https://www.eporner.com/pornstar/phoenix-marie/,1242,333,26,3275249,30884633,199,United States,41,Blue,Blonde,"175 cm / 5'9""",64 kg / 141 lbs,DD,34DD-26-38,"Pheonix Marie,Phoenix Marizzle,Phoenixmarie,Phoneix Marie",https://beingphoenixmarie.com/,https://twitter.com/PMarizzle,https://instagram.com/phxsquadron,"If there is a woman out there who loves being on her knees more than Phoenix Marie, she must be an alien or an anime girl. Phoenix Marie has performed in so many anal scenes and films that you will definitely recognize her if you see only two related scenes that she has been in. Born as Mellissa Hutchinson, Marie has always wanted to be famous, and she got her wish. Her birthday is September 21, 1981, and she is 5’9’ tall, but she only weighs 141lbs. She is a caucasian woman who was born in the US, and she has long blonde hair, beautiful blue eyes, and her cup size is DD. Marie is also quite popular in the MILF categories and is known for her downright naughty performances with young men. Along with her own website, she also has Instagram and Twitter and talks on them often. Her measurements are 34DD-26-28."
26,Ariana Marie,https://www.eporner.com/pornstar/ariana-marie/,124,345,27,3325994,33117721,224,USA,29,Brown,Brunette,"163 cm / 5'4""",45 kg / 99 lbs,C,32C-23-34,,https://arianamarie.com/,https://twitter.com/arianamariexxx,https://instagram.com/ArianaMarie15_,"A charming Caucasian girl with brown hair and brown eyes, Ariana Marie stands at 5’4’’ and weighs only 99lbs. She was born on April 13, 1993, in Dallas, Texas, USA, and she has been in the adult entertainment industry since 2013 when she joined at the age of 20. Her first adult film starred Danny Mountain. In November 2014, she achieved the title of Penthouse Pet of the Month, and she was also nominated for Best New Starlet in the same year. After several years making adult films, she started her own webcam show, which she enjoys doing much more. Ariana wears many different outfits on her show and has more than ten cameras in her home. She hopes to do more work with virtual reality. Her social media stats are quite impressive, as she has over one million followers across several platforms. In 2018, she was nominated for two Best Threesome awards."
27,Sara Jay,https://www.eporner.com/pornstar/sara-jay/,53,344,28,3395716,30452423,217,United States,45,Brown,Blonde,"163 cm / 5'4""",66 kg / 145 lbs,E,36E-25-34,"Sarah,Sarah Jay,SaraJay,SaraJay Karups,Sutherland",https://sarajay.com/,https://twitter.com/SaraJayXXX,https://instagram.com/the_real_sara_jay,"With a big bright smile and large brown eyes, it is no wonder what Sarah J has been inducted into the AVN Hall of Fame. She was born on November 11th, 1977, in Cincinnati, Ohio. She's 5 feet 4 inches tall and weighs about 145 lb. She is a size E cup in her bra, and her measurements are 36E-25-34. She has long blonde hair, which sometimes changes to red or brown. When Sarah Jay was growing up, She was enrolled in the University of Cincinnati, and she was an avid dancer. However, fate took a turn for her because she developed a serious injury and could no longer dance. Since she has been working in the adult film industry for so long, she's filmed over 3000 scenes and 400 films. Sarah Jay was inducted into the AVN Hall of Fame in 2017. She also has her own website, which is www.sarajay.com."
28,Keisha Grey,https://www.eporner.com/pornstar/keisha-grey-DEaOB/,146,467,29,3209650,32406164,196,USA,28,Brown,Brown,"160 cm / 5'3""",52 kg / 114 lbs,DD,32DD-25-34,"Keisha,Keisha FTV",,https://twitter.com/littlekeish3,https://instagram.com/littlekeish,"No longer wanting to be a waitress at a cafe and a pizza joint, Keisha Grey joined the adult film industry in 2013 at the age of 19. Keisha was born on June 9th, 1994, in the USA. She has brown hair and brown eyes, while her height is 5’3’’ and she weighs only 114lbs. Keisha has said that she loves porn and having sex and admires the male adult actor James Deen. She works in Florida, where she was born, and enjoys filming several times a month. Keisha has DD cups, and her measurements are 32DDD-25-34. In the past, she has performed in many different anal movies and has received several nominations for awards in anal categories. In 2019, she won the Best Boobs Fan Choice award and was nominated for Best Female Performer of the Year. She also has her own film titled Kesha, which is all about her."
29,Lena Paul,https://www.eporner.com/pornstar/lena-paul-Fgwas/,868,307,30,3559761,27613311,469,USA,28,Grey,Blonde,"163 cm / 5'4""",58 kg / 128 lbs,32DDD,32DDD-25-38,,http://fancentro.com/r/bcqwlzge/lenapaul,https://twitter.com/lenaisapeach,https://www.instagram.com/lenapaulxo/?hl=en,"Lena Paul gain attention in porn industry because of her big smile... and super large watermelon-looking breast. In early years Lena used the alias Lena Peach. Until 2020 she had been cast in less than 20 scenes, mostly hot family relationships scenes. But you can see her in big boobs, hardcore, lesbian and blowjob porn movies. Lena’s body is completely natural. Even her triple D breasts. In 2018 Lena Paul get AVN Awards - Hottest Newcommer (Fan Awards)."
